M,p,rho,T,A,
0.2000e-01,0.1000e+01,0.1000e+01,0.1000e+01,0.2894e+02,
0.4000e-01,0.1001e+01,0.1001e+01,0.1000e+01,0.1448e+02,
0.6000e-01,0.1003e+01,0.1002e+01,0.1001e+01,0.9666e+01,
0.8000e-01,0.1004e+01,0.1003e+01,0.1001e+01,0.7262e+01,
0.1000e+00,0.1007e+01,0.1005e+01,0.1002e+01,0.5822e+01,
0.1200e+00,0.1010e+01,0.1007e+01,0.1003e+01,0.4864e+01,
0.1400e+00,0.1014e+01,0.1010e+01,0.1004e+01,0.4182e+01,
0.1600e+00,0.1018e+01,0.1013e+01,0.1005e+01,0.3673e+01,
0.1800e+00,0.1023e+01,0.1016e+01,0.1006e+01,0.3278e+01,
0.2000e+00,0.1028e+01,0.1020e+01,0.1008e+01,0.2964e+01,
0.2200e+00,0.1034e+01,0.1024e+01,0.1010e+01,0.2708e+01,
0.2400e+00,0.1041e+01,0.1029e+01,0.1012e+01,0.2496e+01,
0.2600e+00,0.1048e+01,0.1034e+01,0.1014e+01,0.2317e+01,
0.2800e+00,0.1056e+01,0.1040e+01,0.1016e+01,0.2166e+01,
0.3000e+00,0.1064e+01,0.1046e+01,0.1018e+01,0.2035e+01,
0.3200e+00,0.1074e+01,0.1052e+01,0.1020e+01,0.1922e+01,
0.3400e+00,0.1083e+01,0.1059e+01,0.1023e+01,0.1823e+01,
0.3600e+00,0.1094e+01,0.1066e+01,0.1026e+01,0.1736e+01,
0.3800e+00,0.1105e+01,0.1074e+01,0.1029e+01,0.1659e+01,
0.4000e+00,0.1117e+01,0.1082e+01,0.1032e+01,0.1590e+01,
0.4200e+00,0.1129e+01,0.1091e+01,0.1035e+01,0.1529e+01,
0.4400e+00,0.1142e+01,0.1100e+01,0.1039e+01,0.1474e+01,
0.4600e+00,0.1156e+01,0.1109e+01,0.1042e+01,0.1425e+01,
0.4800e+00,0.1171e+01,0.1119e+01,0.1046e+01,0.1380e+01,
0.5000e+00,0.1186e+01,0.1130e+01,0.1050e+01,0.1340e+01,
0.5200e+00,0.1202e+01,0.1141e+01,0.1054e+01,0.1303e+01,
0.5400e+00,0.1219e+01,0.1152e+01,0.1058e+01,0.1270e+01,
0.5600e+00,0.1237e+01,0.1164e+01,0.1063e+01,0.1240e+01,
0.5800e+00,0.1256e+01,0.1177e+01,0.1067e+01,0.1213e+01,
0.6000e+00,0.1276e+01,0.1190e+01,0.1072e+01,0.1188e+01,
0.6200e+00,0.1296e+01,0.1203e+01,0.1077e+01,0.1166e+01,
0.6400e+00,0.1317e+01,0.1218e+01,0.1082e+01,0.1145e+01,
0.6600e+00,0.1340e+01,0.1232e+01,0.1087e+01,0.1127e+01,
0.6800e+00,0.1363e+01,0.1247e+01,0.1092e+01,0.1110e+01,
0.7000e+00,0.1387e+01,0.1263e+01,0.1098e+01,0.1094e+01,
0.7200e+00,0.1412e+01,0.1280e+01,0.1104e+01,0.1081e+01,
0.7400e+00,0.1439e+01,0.1297e+01,0.1110e+01,0.1068e+01,
0.7600e+00,0.1466e+01,0.1314e+01,0.1116e+01,0.1057e+01,
0.7800e+00,0.1495e+01,0.1333e+01,0.1122e+01,0.1047e+01,
0.8000e+00,0.1524e+01,0.1351e+01,0.1128e+01,0.1038e+01,
0.8200e+00,0.1555e+01,0.1371e+01,0.1134e+01,0.1030e+01,
0.8400e+00,0.1587e+01,0.1391e+01,0.1141e+01,0.1024e+01,
0.8600e+00,0.1621e+01,0.1412e+01,0.1148e+01,0.1018e+01,
0.8800e+00,0.1655e+01,0.1433e+01,0.1155e+01,0.1013e+01,
0.9000e+00,0.1691e+01,0.1456e+01,0.1162e+01,0.1009e+01,
0.9200e+00,0.1729e+01,0.1478e+01,0.1169e+01,0.1006e+01,
0.9400e+00,0.1767e+01,0.1502e+01,0.1177e+01,0.1003e+01,
0.9600e+00,0.1808e+01,0.1526e+01,0.1184e+01,0.1001e+01,
0.9800e+00,0.1850e+01,0.1552e+01,0.1192e+01,0.1000e+01,
0.1000e+01,0.1893e+01,0.1577e+01,0.1200e+01,0.1000e+01,
0.1020e+01,0.1938e+01,0.1604e+01,0.1208e+01,0.1000e+01,
0.1040e+01,0.1985e+01,0.1632e+01,0.1216e+01,0.1001e+01,
0.1060e+01,0.2033e+01,0.1660e+01,0.1225e+01,0.1003e+01,
0.1080e+01,0.2083e+01,0.1689e+01,0.1233e+01,0.1005e+01,
0.1100e+01,0.2135e+01,0.1719e+01,0.1242e+01,0.1008e+01,
0.1120e+01,0.2189e+01,0.1750e+01,0.1251e+01,0.1011e+01,
0.1140e+01,0.2245e+01,0.1782e+01,0.1260e+01,0.1015e+01,
0.1160e+01,0.2303e+01,0.1814e+01,0.1269e+01,0.1020e+01,
0.1180e+01,0.2363e+01,0.1848e+01,0.1278e+01,0.1025e+01,
0.1200e+01,0.2425e+01,0.1883e+01,0.1288e+01,0.1030e+01,
0.1220e+01,0.2489e+01,0.1918e+01,0.1298e+01,0.1037e+01,
0.1240e+01,0.2556e+01,0.1955e+01,0.1308e+01,0.1043e+01,
0.1260e+01,0.2625e+01,0.1992e+01,0.1318e+01,0.1050e+01,
0.1280e+01,0.2697e+01,0.2031e+01,0.1328e+01,0.1058e+01,
0.1300e+01,0.2771e+01,0.2071e+01,0.1338e+01,0.1066e+01,
0.1320e+01,0.2847e+01,0.2112e+01,0.1348e+01,0.1075e+01,
0.1340e+01,0.2927e+01,0.2153e+01,0.1359e+01,0.1084e+01,
0.1360e+01,0.3009e+01,0.2197e+01,0.1370e+01,0.1094e+01,
0.1380e+01,0.3094e+01,0.2241e+01,0.1381e+01,0.1104e+01,
0.1400e+01,0.3182e+01,0.2286e+01,0.1392e+01,0.1115e+01,
0.1420e+01,0.3273e+01,0.2333e+01,0.1403e+01,0.1126e+01,
0.1440e+01,0.3368e+01,0.2381e+01,0.1415e+01,0.1138e+01,
0.1460e+01,0.3465e+01,0.2430e+01,0.1426e+01,0.1150e+01,
